Season,Player,Points,Assists,WS,VROP,Steals,BPM
2019,Harden,36.1,7.5,15.2,9.9,2,11.7
2019,Antetokounmpo,27.7,5.9,14.4,7.6,1.3,10.8
2019,Curry,27.3,5.2,9.7,4.9,1.3,6.3
2019,James,27.4,8.3,7.2,4.3,1.3,8.1
2019,Westbrook,22.9,10.7,6.8,5.6,1.9,6.5
2019,Leonard,26.6,3.3,9.5,3.6,1.8,5
2019,Durant,26,5.9,11.5,4.9,0.7,4.3
2019,George,28,4.1,11.9,5.3,2.2,5.5
