timestamp,city,temperature
2015-01-09T18:30:00.000Z,San Francisco,18.7164367816092
2015-01-09T19:00:00.000Z,San Francisco,19.1081609195402
2015-01-09T19:30:00.000Z,San Francisco,19.4588122605364
2015-01-09T20:00:00.000Z,San Francisco,19.6591954022989
2015-01-09T20:30:00.000Z,San Francisco,19.6440804597701
2015-01-09T21:00:00.000Z,San Francisco,19.7345977011494
2015-01-09T21:30:00.000Z,San Francisco,20.2113793103448
2015-01-09T22:00:00.000Z,San Francisco,21.7516858237548
2015-01-09T22:30:00.000Z,San Francisco,22.6708045977011
2015-01-09T23:00:00.000Z,San Francisco,23.1363409961686
2015-01-09T23:30:00.000Z,San Francisco,22.690938697318
2015-01-10T00:00:00.000Z,San Francisco,22.5301724137931
2015-01-10T00:30:00.000Z,San Francisco,22.1012835249042
2015-01-10T01:00:00.000Z,San Francisco,20.8888697318008
2015-01-10T01:30:00.000Z,San Francisco,20.0009961685824
2015-01-10T02:00:00.000Z,San Francisco,19.837183908046
2015-01-10T02:30:00.000Z,San Francisco,19.2265900383142
2015-01-10T03:00:00.000Z,San Francisco,18.8742107700728
2015-01-10T03:30:00.000Z,San Francisco,18.8211877394636
2015-01-10T04:00:00.000Z,San Francisco,18.5961494252874
2015-01-10T04:30:00.000Z,San Francisco,18.5163464696223
2015-01-10T05:00:00.000Z,San Francisco,18.8319731800766
2015-01-10T05:30:00.000Z,San Francisco,18.9649808429119
2015-01-10T06:00:00.000Z,San Francisco,18.5140996168582
2015-01-10T06:30:00.000Z,San Francisco,17.9814750957854
2015-01-10T07:00:00.000Z,San Francisco,17.7812260536398
2015-01-10T07:30:00.000Z,San Francisco,18.2980316091954
2015-01-10T08:00:00.000Z,San Francisco,18.357662835249
2015-01-10T08:30:00.000Z,San Francisco,18.4909578544061
2015-01-10T09:00:00.000Z,San Francisco,18.2716091954023
2015-01-10T09:30:00.000Z,San Francisco,18.118275862069
2015-01-10T10:00:00.000Z,San Francisco,18.24339797176
2015-01-10T10:30:00.000Z,San Francisco,17.7855172413793
2015-01-10T11:00:00.000Z,San Francisco,17.7147701149425
2015-01-10T11:30:00.000Z,San Francisco,17.6917624521073
2015-01-10T12:00:00.000Z,San Francisco,17.4607662835249
2015-01-10T12:30:00.000Z,San Francisco,17.3359195402299
2015-01-10T13:00:00.000Z,San Francisco,17.2948275862069
2015-01-10T13:30:00.000Z,San Francisco,17.5789846743295
2015-01-10T14:00:00.000Z,San Francisco,17.6025670498084
2015-01-10T14:30:00.000Z,San Francisco,17.5702681992337
2015-01-10T15:00:00.000Z,San Francisco,17.6608812260536
2015-01-10T15:30:00.000Z,San Francisco,17.5309195402299
2015-01-10T16:00:00.000Z,San Francisco,17.5710344827586
2015-01-10T16:30:00.000Z,San Francisco,17.4802681992337
2015-01-10T17:00:00.000Z,San Francisco,17.5650766283525
2015-01-10T17:30:00.000Z,San Francisco,17.5805747126437
2015-01-10T18:00:00.000Z,San Francisco,17.4429885057471
2015-01-10T18:30:00.000Z,San Francisco,18.0982950191571
2015-01-10T19:00:00.000Z,San Francisco,17.9599233716475
2015-01-10T19:30:00.000Z,San Francisco,18.0368226600985
2015-01-10T20:00:00.000Z,San Francisco,18.8181417624521
2015-01-10T20:30:00.000Z,San Francisco,19.4208194976586
2015-01-10T21:00:00.000Z,San Francisco,20.5037739463601
2015-01-10T21:30:00.000Z,San Francisco,20.5389463601533
2015-01-10T22:00:00.000Z,San Francisco,20.0643486590038
2015-01-10T22:30:00.000Z,San Francisco,20.1316427203065
2015-01-10T23:00:00.000Z,San Francisco,20.307183908046
2015-01-10T23:30:00.000Z,San Francisco,20.2619731800766
2015-01-11T00:00:00.000Z,San Francisco,19.7873754789272
2015-01-11T00:30:00.000Z,San Francisco,19.3061111111111
2015-01-11T01:00:00.000Z,San Francisco,18.9399808429119
2015-01-11T01:30:00.000Z,San Francisco,18.6174712643678
2015-01-11T02:00:00.000Z,San Francisco,18.3544444444444
2015-01-11T02:30:00.000Z,San Francisco,18.2854406130268
2015-01-11T03:00:00.000Z,San Francisco,18.1354214559387
2015-01-11T03:30:00.000Z,San Francisco,18.1019731800766
2015-01-11T04:00:00.000Z,San Francisco,17.9033141762452
2015-01-11T04:30:00.000Z,San Francisco,17.8489463601533
2015-01-11T05:00:00.000Z,San Francisco,17.6269348659004
2015-01-11T05:30:00.000Z,San Francisco,17.6227969348659
2015-01-11T06:00:00.000Z,San Francisco,17.2305747126437
2015-01-11T06:30:00.000Z,San Francisco,17.5518199233716
2015-01-11T07:00:00.000Z,San Francisco,17.3798275862069
2015-01-11T07:30:00.000Z,San Francisco,17.6907471264368
2015-01-11T08:00:00.000Z,San Francisco,17.6486973180077
2015-01-11T08:30:00.000Z,San Francisco,17.1953639846743
2015-01-11T09:00:00.000Z,San Francisco,17.0701915708812
2015-01-11T09:30:00.000Z,San Francisco,17.1397509578544
2015-01-11T10:00:00.000Z,San Francisco,17.1983333333333
2015-01-11T10:30:00.000Z,San Francisco,16.8878544061303
2015-01-11T11:00:00.000Z,San Francisco,16.933275862069
2015-01-11T11:30:00.000Z,San Francisco,16.8158237547893
2015-01-11T12:00:00.000Z,San Francisco,16.461245210728
2015-01-11T12:30:00.000Z,San Francisco,16.3547701149425
2015-01-11T13:00:00.000Z,San Francisco,16.3988832544512
2015-01-11T13:30:00.000Z,San Francisco,16.8177969348659
2015-01-11T14:00:00.000Z,San Francisco,16.8269348659004
2015-01-11T14:30:00.000Z,San Francisco,17.1487739463602
2015-01-11T15:00:00.000Z,San Francisco,16.8756130268199
2015-01-11T15:30:00.000Z,San Francisco,16.9038697318008
2015-01-11T16:00:00.000Z,San Francisco,16.432183908046
2015-01-11T16:30:00.000Z,San Francisco,16.1298850574713
2015-01-11T17:00:00.000Z,San Francisco,16.4962958401752
2015-01-11T17:30:00.000Z,San Francisco,17.8819923371648
2015-01-11T18:00:00.000Z,San Francisco,18.7628927203065
2015-01-11T18:30:00.000Z,San Francisco,18.6661111111111
2015-01-11T19:00:00.000Z,San Francisco,18.4748659003831
2015-01-11T19:30:00.000Z,San Francisco,19.3175670498084
2015-01-11T20:00:00.000Z,San Francisco,18.92469348659
2015-01-11T20:30:00.000Z,San Francisco,18.7478927203065
2015-01-11T21:00:00.000Z,San Francisco,18.4276053639847
2015-01-11T21:30:00.000Z,San Francisco,18.5444061302682
